,Start date,End date,Weekly New Cases,Step,Cohort,Date,New Cases
0,2020-02-28,2020-03-05 00:00:00,0,Step 1,Community,,
1,2020-03-06,2020-03-12 00:00:00,0,Step 1,Community,,
2,2020-03-13,2020-03-19 00:00:00,1,Step 1,Community,,
3,2020-03-20,2020-03-26 00:00:00,11,Step 1,Community,,
4,2020-03-27,2020-04-02 00:00:00,21,Step 1,Community,,
5,2020-04-03,2020-04-09 00:00:00,29,Step 1,Community,,
6,2020-04-10,2020-04-16 00:00:00,11,Step 1,Community,,
7,2020-04-17,2020-04-23 00:00:00,4,Step 1,Community,,
8,2020-04-24,2020-04-30 00:00:00,20,Step 1,Community,,
9,2020-05-01,2020-05-07 00:00:00,20,Step 1,Community,,
10,2020-05-08,2020-05-14 00:00:00,11,Step 1,Community,,
11,2020-05-15,2020-05-21 00:00:00,8,Step 1,Community,,
12,2020-05-22,2020-05-28 00:00:00,12,Step 1,Community,,
13,2020-05-29,2020-06-04 00:00:00,3,Step 1,Community,,
14,2020-06-05,2020-06-11 00:00:00,13,Step 1,Community,,
15,2020-06-12,2020-06-18 00:00:00,9,Step 1,Community,,
16,2020-06-19,2020-06-25 00:00:00,23,Step 1,Community,,
17,2020-06-26,2020-07-02 00:00:00,22,Step 1,Community,,
18,2020-07-03,2020-07-09 00:00:00,21,Step 1,Community,,
19,2020-07-10,2020-07-16 00:00:00,31,Step 1,Community,,
20,2020-07-17,2020-07-23 00:00:00,38,Step 1,Community,,
21,2020-07-24,2020-07-30 00:00:00,50,Step 1,Community,,
22,2020-07-31,2020-08-06 00:00:00,15,Step 1,Community,,
23,2020-08-07,2020-08-13 00:00:00,19,Step 1,Community,,
24,2020-08-14,2020-08-20 00:00:00,22,Step 1,Community,,
25,2020-08-21,2020-08-27 00:00:00,0,Step 1,Community,,
26,2020-08-28,2020-09-03 00:00:00,0,Step 1,Community,,
27,2020-09-04,2020-09-10 00:00:00,0,Step 1,Community,,
28,2020-09-11,2020-09-17 00:00:00,0,Step 1,Community,,
29,2020-09-18,2020-09-24 00:00:00,64,Step 1,Community,,
30,2020-09-25,2020-10-01 00:00:00,7,Step 1,Community,,
31,2020-10-02,2020-10-08 00:00:00,7,Step 1,Community,,
32,2020-10-09,2020-10-15 00:00:00,144,Step 1,Community,,
33,2020-10-16,2020-10-22 00:00:00,39,Step 1,Community,,
34,2020-10-23,2020-10-29 00:00:00,136,Step 1,Community,,
35,2020-10-30,2020-11-05 00:00:00,55,Step 1,Community,,
36,2020-11-06,2020-11-12 00:00:00,224,Step 1,Community,,
37,2020-11-13,2020-11-19 00:00:00,146,Step 1,Community,,
38,2020-11-20,2020-11-26 00:00:00,591,Step 1,Community,,
39,2020-11-27,2020-12-03 00:00:00,541,Step 1,Community,,
40,2020-12-04,2020-12-10 00:00:00,661,Step 1,Community,,
41,2020-12-11,2020-12-17 00:00:00,565,Step 1,Community,,
42,2020-12-14,2020-12-20 00:00:00,568,Step 2,Community,,
43,2020-12-21,2020-12-27 00:00:00,424,Step 2,Community,,
44,2020-12-28,2021-01-03 00:00:00,444,Step 2,Community,,
45,2021-01-04,2021-01-10 00:00:00,584,Step 2,Community,,
46,2021-01-11,2021-01-17 00:00:00,440,Step 2,Community,,
47,2021-01-18,2021-01-24 00:00:00,321,Step 2,Community,,
48,2021-01-25,2021-01-31 00:00:00,399,Step 2,Community,,
49,2021-02-01,2021-02-07 00:00:00,340,Step 2,Community,,
