start,end,event,students_present
8/24/2015,11/21/2015,fall classes begin 2015,1
11/22/2015,11/28/2015,winter break 2015,0
11/29/2015,12/18/2015,fall 2015 cont.,1
1/11/2016,3/5/2016,spring classes begin 2016,1
3/6/2016,3/12/2016,spring break 2016,0
3/13/2016,5/6/2016,spring 2016 cont.,1
5/16/2016,8/12/2019,summer 2016,0
8/22/2016,11/19/2016,fall classes begin 2016,1
11/20/2016,11/26/2016,winter break 2016,0
11/27/2016,12/16/2016,fall 2016 cont.,1
1/9/2017,3/4/2017,spring classes begin 2017,1
3/5/2017,3/11/2017,spring break 2017,0
3/12/2017,5/5/2017,spring 2017 cont.,1
5/15/2017,8/11/2017,summer 2017,0
8/21/2017,11/18/2017,fall classes begin 2017,1
11/19/2017,11/25/2017,winter break 2017,0
11/26/2017,12/15/2017,fall 2017 cont.,1
1/8/2018,3/3/2018,spring classes begin 2018,1
3/4/2018,3/10/2018,spring break 2018,0
3/11/2018,5/4/2018,spring 2018 cont.,1
5/7/2018,8/10/2018,summer 2018,0
8/20/2018,11/17/2018,fall classes begin 2018,1
11/18/2018,11/24/2018,winter break 2018,0
11/25/2018,12/14/2018,fall 2018 cont.,1
1/7/2019,3/2/2019,spring classes begin 2019,1
3/3/2019,3/9/2019,spring break 2019,0
3/10/2019,5/3/2019,spring 2019 cont.,1
5/13/2019,8/9/2019,summer 2019,0
8/26/2019,11/23/2019,fall classes begin 2019,1
11/24/2019,11/30/2019,winter break 2019,0
12/1/2019,12/20/2019,fall 2019 cont.,1
1/13/2020,3/7/2020,spring classes begin 2020,1
3/8/2020,3/14/2020,spring break 2020,0
3/15/2020,5/8/2020,spring 2020 cont.,0
5/18/2020,8/14/2020,summer 2020,0
8/24/2020,11/21/2020,fall classes begin 2020,1
11/22/2020,11/28/2020,winter break 2020,0
11/29/2020,12/18/2020,fall 2020 cont.,1
2/14/2021,5/7/2021,spring classes begin 2021,1
5/17/2021,8/13/2021,summer 2021,0
8/23/2021,11/20/2021,fall classes begin 2021,1
11/21/2021,11/27/2021,winter break 2021,0
11/28/2021,12/17/2021,fall 2021 cont.,1
1/10/2022,3/5/2022,spring classes begin 2022,1
3/6/2022,3/12/2022,spring break 2022,0
3/13/2022,5/6/2022,spring 2022 cont.,1
5/16/2022,8/12/2022,summer 2022,0
8/22/2022,11/20/2022,fall classes begin 2022,1
11/20/2022,11/26/2022,winter break 2022,0
11/27/2022,12/16/2022,fall 2022cont.,1
1/9/2023,3/5/2023,spring classes begin 2023,1
3/6/2023,3/11/2023,spring break 2023,0
3/12/2023,5/5/2023,spring 2023 cont.,1
