cohort,Risk_avg_w5,Action_avg_w5,Behavior,Wave,Type,Type2,Type3,Type4,d_Risk_avg,d_Action_avg,abs(d_Risk_avg),abs(d_Action_avg),Action_avg_w4,Risk_avg_w4,left_Risk_avg,right_Risk_avg,left_Action_avg,right_Action_avg
Non_students,3.516642547,3.141823444,Washing hands,W5,Protective behavior,Personal hygiene,Consistent before & after pandmeic,Cluster1,0.067244957,0.016522239,0.067244957,0.016522239,3.125301205,3.44939759,0,0.067244957,0,0.016522239
Student,3.410557185,3.369501466,Washing hands,W5,Protective behavior,Personal hygiene,Consistent before & after pandmeic,Cluster1,-0.047958099,0.138060418,0.047958099,0.138060418,3.231441048,3.458515284,-0.047958099,0,0,0.138060418
Non_students,3.433770015,2.908296943,Avoid touching eyes,W5,Protective behavior,Personal hygiene,Consistent before & after pandmeic,Cluster1,0.121721822,-0.018209081,0.121721822,0.018209081,2.926506024,3.312048193,0,0.121721822,-0.018209081,0
Student,3.405970149,2.707462687,Avoid touching eyes,W5,Protective behavior,Personal hygiene,Consistent before & after pandmeic,Cluster1,0.03479111,0.004405918,0.03479111,0.004405918,2.703056769,3.371179039,0,0.03479111,0,0.004405918
Non_students,3.499276411,3.567293777,Covering mouth when sneeze,W5,Protective behavior,Personal hygiene,Consistent before & after pandmeic,Cluster1,0.168394058,0.074646718,0.168394058,0.074646718,3.492647059,3.330882353,0,0.168394058,0,0.074646718
Student,3.42228739,3.42228739,Covering mouth when sneeze,W5,Protective behavior,Personal hygiene,Consistent before & after pandmeic,Cluster1,-0.066795579,-0.049328331,0.066795579,0.049328331,3.471615721,3.489082969,-0.066795579,0,-0.049328331,0
Non_students,3.872756933,3.489396411,Staying home when feeling unwell,W5,Protective behavior,Stay home when sick,Varying before & after pandmeic,Cluster1,0.014513482,0.01482014,0.014513482,0.01482014,3.474576271,3.858243451,0,0.014513482,0,0.01482014
Student,3.623880597,2.817910448,Staying home when feeling unwell,W5,Protective behavior,Stay home when sick,Varying before & after pandmeic,Cluster1,-0.152375111,-0.077066721,0.152375111,0.077066721,2.894977169,3.776255708,-0.152375111,0,-0.077066721,0
Non_students,3.257925072,1.805475504,Staying 6 feet away,W5,Protective behavior,Six feet,Appeared after the pandemic,Cluster3,-0.119960712,-0.969737133,0.119960712,0.969737133,2.775212637,3.377885784,-0.119960712,0,-0.969737133,0
Student,3.19941349,0.958944282,Staying 6 feet away,W5,Protective behavior,Six feet,Appeared after the pandemic,Cluster3,-0.125147914,-0.834915367,0.125147914,0.834915367,1.793859649,3.324561404,-0.125147914,0,-0.834915367,0
Non_students,3.593073593,1.653679654,Wearing a facemask,W5,Protective behavior,Facemask,Appeared after the pandemic,Cluster2,-0.049262173,-1.714933485,0.049262173,1.714933485,3.368613139,3.642335766,-0.049262173,0,-1.714933485,0
Student,3.463126844,1.008849558,Wearing a facemask,W5,Protective behavior,Facemask,Appeared after the pandemic,Cluster2,-0.135126431,-2.052285813,0.135126431,2.052285813,3.061135371,3.598253275,-0.135126431,0,-2.052285813,0
Non_students,3.244897959,1.297376093,Reducing outside the house trips,W5,Protective behavior,Trips,Varying before & after pandmeic,Cluster3,-0.043092237,-0.678114103,0.043092237,0.678114103,1.975490196,3.287990196,-0.043092237,0,-0.678114103,0
Student,3.131343284,0.76119403,Reducing outside the house trips,W5,Protective behavior,Trips,Varying before & after pandmeic,Cluster3,-0.125293884,-0.30960243,0.125293884,0.30960243,1.07079646,3.256637168,-0.125293884,0,-0.30960243,0
Non_students,3.224340176,1.272727273,Reducing trips to grocery stores,W5,Protective behavior,Trips,Varying before & after pandmeic,Cluster3,0.010664962,-0.49039849,0.010664962,0.49039849,1.763125763,3.213675214,0,0.010664962,-0.49039849,0
Student,3.086687307,0.919504644,Reducing trips to grocery stores,W5,Protective behavior,Trips,Varying before & after pandmeic,Cluster3,-0.054089392,-0.158165259,0.054089392,0.158165259,1.077669903,3.140776699,-0.054089392,0,-0.158165259,0
Non_students,3.223858616,1.400589102,Reducing trips to retail stores,W5,Protective behavior,Trips,Varying before & after pandmeic,Cluster3,-0.02184163,-0.549042348,0.02184163,0.549042348,1.94963145,3.245700246,-0.02184163,0,-0.549042348,0
Student,3.111782477,0.903323263,Reducing trips to retail stores,W5,Protective behavior,Trips,Varying before & after pandmeic,Cluster3,-0.074264035,-0.287374411,0.074264035,0.287374411,1.190697674,3.186046512,-0.074264035,0,-0.287374411,0
Non_students,3.631178707,1.779467681,Attending class/work remotely,W5,Protective behavior,Remote work/class,Varying before & after pandmeic,Cluster3,-0.071238211,-0.300592742,0.071238211,0.300592742,2.080060423,3.702416918,-0.071238211,0,-0.300592742,0
Student,3.385964912,0.929824561,Attending class/work remotely,W5,Protective behavior,Remote work/class,Varying before & after pandmeic,Cluster3,-0.153858097,-0.446281634,0.153858097,0.446281634,1.376106195,3.539823009,-0.153858097,0,-0.446281634,0
Non_students,3.210914454,1.324483776,Attending social gatherings less frequently,W5,Protective behavior,Gatherings,Varying before & after pandmeic,Cluster3,-0.401355485,-0.961405795,0.401355485,0.961405795,2.285889571,3.612269939,-0.401355485,0,-0.961405795,0
Student,3.051204819,0.759036145,Attending social gatherings less frequently,W5,Protective behavior,Gatherings,Varying before & after pandmeic,Cluster3,-0.363973752,-0.455249569,0.363973752,0.455249569,1.214285714,3.415178571,-0.363973752,0,-0.455249569,0
