,Start date,End date,Weekly New Cases,Step,Cohort,Date,New Cases
0,2020-02-28,2020-03-05 00:00:00,0,Step 1,Student,,
1,2020-03-06,2020-03-12 00:00:00,0,Step 1,Student,,
2,2020-03-13,2020-03-19 00:00:00,0,Step 1,Student,,
3,2020-03-20,2020-03-26 00:00:00,0,Step 1,Student,,
4,2020-03-27,2020-04-02 00:00:00,0,Step 1,Student,,
5,2020-04-03,2020-04-09 00:00:00,0,Step 1,Student,,
6,2020-04-10,2020-04-16 00:00:00,0,Step 1,Student,,
7,2020-04-17,2020-04-23 00:00:00,0,Step 1,Student,,
8,2020-04-24,2020-04-30 00:00:00,0,Step 1,Student,,
9,2020-05-01,2020-05-07 00:00:00,0,Step 1,Student,,
10,2020-05-08,2020-05-14 00:00:00,0,Step 1,Student,,
11,2020-05-15,2020-05-21 00:00:00,0,Step 1,Student,,
12,2020-05-22,2020-05-28 00:00:00,0,Step 1,Student,,
13,2020-05-29,2020-06-04 00:00:00,0,Step 1,Student,,
14,2020-06-05,2020-06-11 00:00:00,0,Step 1,Student,,
15,2020-06-12,2020-06-18 00:00:00,0,Step 1,Student,,
16,2020-06-19,2020-06-25 00:00:00,0,Step 1,Student,,
17,2020-06-26,2020-07-02 00:00:00,0,Step 1,Student,,
18,2020-07-03,2020-07-09 00:00:00,0,Step 1,Student,,
19,2020-07-10,2020-07-16 00:00:00,0,Step 1,Student,,
20,2020-07-17,2020-07-23 00:00:00,0,Step 1,Student,,
21,2020-07-24,2020-07-30 00:00:00,0,Step 1,Student,,
22,2020-07-31,2020-08-06 00:00:00,0,Step 1,Student,,
23,2020-08-07,2020-08-13 00:00:00,0,Step 1,Student,,
24,2020-08-14,2020-08-20 00:00:00,3,Step 1,Student,,
25,2020-08-21,2020-08-27 00:00:00,34,Step 1,Student,,
26,2020-08-28,2020-09-03 00:00:00,362,Step 1,Student,,
27,2020-09-04,2020-09-10 00:00:00,654,Step 1,Student,,
28,2020-09-11,2020-09-17 00:00:00,638,Step 1,Student,,
29,2020-09-18,2020-09-24 00:00:00,694,Step 1,Student,,
30,2020-09-25,2020-10-01 00:00:00,494,Step 1,Student,,
31,2020-10-02,2020-10-08 00:00:00,441,Step 1,Student,,
32,2020-10-09,2020-10-15 00:00:00,196,Step 1,Student,,
33,2020-10-16,2020-10-22 00:00:00,239,Step 1,Student,,
34,2020-10-23,2020-10-29 00:00:00,185,Step 1,Student,,
35,2020-10-30,2020-11-05 00:00:00,235,Step 1,Student,,
36,2020-11-06,2020-11-12 00:00:00,274,Step 1,Student,,
37,2020-11-13,2020-11-19 00:00:00,400,Step 1,Student,,
38,2020-11-20,2020-11-26 00:00:00,71,Step 1,Student,,
39,2020-11-27,2020-12-03 00:00:00,67,Step 1,Student,,
40,2020-12-04,2020-12-10 00:00:00,72,Step 1,Student,,
41,2020-12-11,2020-12-17 00:00:00,66,Step 1,Student,,
42,2020-12-14,2020-12-20 00:00:00,0,Step 2,Student,,
43,2020-12-21,2020-12-27 00:00:00,16,Step 2,Student,,
44,2020-12-28,2021-01-03 00:00:00,4,Step 2,Student,,
45,2021-01-04,2021-01-10 00:00:00,37,Step 2,Student,,
46,2021-01-11,2021-01-17 00:00:00,21,Step 2,Student,,
47,2021-01-18,2021-01-24 00:00:00,97,Step 2,Student,,
48,2021-01-25,2021-01-31 00:00:00,306,Step 2,Student,,
49,2021-02-01,2021-02-07 00:00:00,217,Step 2,Student,,
50,2021-02-08,2021-02-14 00:00:00,131,Step 2,Student,,
51,2021-02-15,2021-02-21 00:00:00,99,Step 2,Student,,
52,2021-02-22,2021-02-28 00:00:00,77,Step 2,Student,,
53,2021-03-01,2021-03-07 00:00:00,69,Step 2,Student,,
54,2021-03-08,2021-03-14 00:00:00,107,Step 2,Student,,
55,2021-03-15,2021-03-21 00:00:00,284,Step 2,Student,,
56,2021-03-22,2021-03-28 00:00:00,305,Step 2,Student,,
57,2021-03-29,2021-04-04 00:00:00,196,Step 2,Student,,
58,2021-04-05,2021-04-11 00:00:00,144,Step 2,Student,,
59,2021-04-12,2021-04-18 00:00:00,147,Step 2,Student,,
60,2021-04-19,2021-04-25 00:00:00,130,Step 2,Student,,
61,2021-04-26,2021-05-02 00:00:00,92,Step 2,Student,,
62,2021-05-03,2021-05-09 00:00:00,56,Step 2,Student,,
63,2021-05-10,2021-05-16 00:00:00,6,Step 2,Student,,
64,2021-05-17,2021-05-23 00:00:00,4,Step 2,Student,,
65,2021-05-24,2021-05-30 00:00:00,1,Step 2,Student,,
66,2021-05-31,2021-06-06 00:00:00,1,Step 2,Student,,
67,2021-06-07,2021-06-13 00:00:00,0,Step 2,Student,,
68,2021-06-14,2021-06-20 00:00:00,1,Step 2,Student,,
69,2021-06-21,2021-06-27 00:00:00,0,Step 2,Student,,
70,2021-06-28,2021-07-04 00:00:00,1,Step 2,Student,,
71,2021-07-05,2021-07-11 00:00:00,0,Step 2,Student,,
72,2021-07-12,2021-07-18 00:00:00,5,Step 2,Student,,
73,2021-07-19,2021-07-25 00:00:00,4,Step 2,Student,,
74,2021-07-26,2021-08-01 00:00:00,6,Step 2,Student,,
75,2021-08-02,2021-08-08 00:00:00,2,Step 2,Student,,
76,2021-08-09,2021-08-15 00:00:00,2,Step 2,Student,,
77,2021-08-16,2021-08-22 00:00:00,17,Step 2,Student,,
78,2021-08-23,2021-08-29 00:00:00,59,Step 2,Student,,
79,2021-08-30,2021-09-05 00:00:00,190,Step 2,Student,,
80,2021-09-06,2021-09-12 00:00:00,127,Step 2,Student,,
81,2021-09-13,2021-09-19 00:00:00,85,Step 2,Student,,
82,2021-09-20,2021-09-26 00:00:00,49,Step 2,Student,,
83,2021-09-27,2021-10-03 00:00:00,33,Step 2,Student,,
84,2021-10-04,2021-10-10 00:00:00,26,Step 2,Student,,
85,2021-10-11,2021-10-17 00:00:00,10,Step 2,Student,,
86,2021-10-18,2021-10-24 00:00:00,21,Step 2,Student,,
87,2021-10-25,2021-10-31 00:00:00,34,Step 2,Student,,
88,2021-11-01,2021-11-07 00:00:00,29,Step 2,Student,,
89,2021-11-08,2021-11-14 00:00:00,37,Step 2,Student,,
90,2021-11-15,2021-11-21 00:00:00,26,Step 2,Student,,
91,2021-11-22,2021-11-28 00:00:00,12,Step 2,Student,,
92,2021-11-29,2021-12-05 00:00:00,110,Step 2,Student,,
93,2021-12-06,2021-12-12 00:00:00,58,Step 2,Student,,
94,2021-12-13,2021-12-19 00:00:00,177,Step 2,Student,,
95,2021-12-20,2021-12-26 00:00:00,80,Step 2,Student,,
96,2021-12-27,2022-01-02 00:00:00,104,Step 2,Student,,
97,2022-01-03,2022-01-09 00:00:00,313,Step 2,Student,,
98,2022-01-10,2022-01-16 00:00:00,444,Step 2,Student,,
99,2022-01-17,2022-01-23 00:00:00,564,Step 2,Student,,
100,2022-01-24,2022-01-30 00:00:00,277,Step 2,Student,,
101,2022-01-31,2022-02-06 00:00:00,106,Step 2,Student,,
102,2022-02-07,2022-02-13 00:00:00,54,Step 2,Student,,
103,2022-02-14,2022-02-20 00:00:00,60,Step 2,Student,,
104,2022-02-21,2022-02-27 00:00:00,15,Step 2,Student,,
105,2022-02-28,2022-03-06 00:00:00,43,Step 2,Student,,
106,2022-03-07,2022-03-13 00:00:00,2,Step 2,Student,,
107,2022-03-14,2022-03-20 00:00:00,23,Step 2,Student,,
108,2022-03-21,2022-03-27 00:00:00,18,Step 2,Student,,
109,2022-03-28,2022-04-03 00:00:00,11,Step 2,Student,,
110,2022-04-04,2022-04-10 00:00:00,19,Step 2,Student,,
111,2022-04-11,2022-04-17 00:00:00,11,Step 3,Student,,
